symbol,name,market,mc_krw,eps_trend_ok,fy_complete_0y,fy_complete_1y,snap_ok_count,0y_current,0y_7d,0y_30d,0y_60d,0y_90d,1y_current,1y_90d,endDate_0y_ok,endDate_1y_ok,rev_ok_0y,up7,up30,dn30,dn7,na,rev_growth,op_margin,gross_margin,fwd_pe,fwd_eps,earn_date_present,error
028260.KS,SAMSUNG C&T,KS,49463174304000.0,True,True,True,5,17042.197,15349.875,15379.072,15398.595,15301.355,17846.936,16977.514,True,True,True,2,2,0,0,16,0.084,0.074939996,0.18868999,24.233852,,True,
068270.KS,Celltrion,KS,46671748722000.0,True,True,True,5,6209.368,6546.989,6026.181,5926.4785,5917.3096,7461.494,6844.3027,True,True,True,10,11,3,2,24,0.251,0.35382,0.59268004,25.799122,,True,
032830.KS,SAMSUNG LIFE,KS,46100000000000.0,True,True,True,5,13844.051,13816.346,13639.408,13466.439,13428.442,15471.062,14251.84,True,True,True,1,3,1,0,18,,-0.83023,0.58278,20.813051,,True,
055550.KS,ShinhanGroup,KS,45804145836500.0,True,True,True,5,11785.393,11578.175,11592.087,11541.628,11242.003,12881.762,12190.595,True,True,True,8,7,2,2,20,0.066,0.5145,0.0,7.4058194,,True,
042660.KS,Hanwha Ocean,KS,39833741220000.0,True,True,True,5,4689.391,4479.2856,4591.019,4623.1514,4422.4463,6005.159,5479.5537,True,True,True,6,6,2,1,20,0.021,0.074489996,0.14396,19.866251,,True,
012330.KS,Mobis,KS,37472556779000.0,True,True,True,5,47602.016,47211.246,49138.7,49422.9,49620.36,53016.605,54241.125,True,True,True,0,4,19,0,29,0.047,0.06044,0.14446999,12.260309,,True,
006800.KS,MIRAE ASSET SEC,KS,37039604413600.0,True,True,True,5,4846.9,4126.737,4130.584,3754.5042,3573.5454,3511.9946,3220.992,True,True,True,0,3,1,1,11,0.793,0.33001,0.95739,20.330328,,False,
009150.KS,SamsungElecMech,KS,35815627232000.0,True,True,True,5,17135.057,17097.664,15394.855,14391.113,13697.6875,26290.979,17553.309,True,True,True,16,17,0,0,27,0.164,0.08253,0.20128,38.910686,,True,
035420.KS,NAVER,KS,34586006679000.0,True,True,True,5,12859.411,13913.968,13909.444,13913.278,14091.354,15037.916,15862.513,True,True,True,0,1,11,12,26,,0.16713,0.69204,13.898202,,True,
267260.KS,HD HYUNDAI ELECTRIC,KS,34533155330000.0,True,True,True,5,27322.604,27234.158,26847.195,26636.766,26155.982,34287.59,32521.424,True,True,True,4,5,2,1,20,0.426,0.2759,0.34030998,36.543835,,True,
010130.KS,KOREA ZINC,KS,33647226028000.0,True,True,True,5,60115.0,69481.664,66772.664,46720.49,43411.09,62261.58,45588.086,True,True,True,0,1,0,1,4,0.398,0.08934,0.10849,24.204334,,False,
086790.KS,HANAFINANCIALGR,KS,31506482144800.0,True,True,True,5,16240.621,15714.741,15593.524,15539.148,15293.641,17546.543,16450.643,True,True,True,8,9,0,0,21,0.829,0.3037,0.0,7.0042286,,True,
006400.KS,"SAMSUNG SDI CO.,LTD.",KS,32435675825000.0,True,True,True,5,4250.6016,1033.8677,535.9412,455.25555,3952.152,16741.043,17842.846,True,True,True,9,10,2,1,31,0.028,-0.09822,0.11018,37.30353,,True,
015760.KS,KEPCO,KS,31006864919100.0,True,True,True,5,14277.346,14850.652,16283.339,16455.332,16238.767,16945.04,17053.033,True,True,True,0,0,7,2,20,0.007,0.082320005,0.16978,2.3076353,,True,
009540.KS,HDKSOE,KS,29264683466000.0,True,True,True,5,49552.133,46677.7,46477.65,47006.27,47673.945,57608.38,57270.43,True,True,True,3,4,3,3,16,0.138,0.12722999,0.17766,7.6290984,,True,
042700.KS,HANMISemi,KS,29260845400000.0,True,True,True,5,3775.5142,3775.5142,3775.206,3775.206,4063.098,5324.9497,5403.831,True,True,True,1,1,0,0,9,-0.445,0.33280998,0.5756,73.14623,,True,
272210.KS,HANWHA SYSTEMS,KS,26637633849000.0,True,True,True,5,1248.8572,726.0,1449.4286,1449.4286,1433.7142,2283.375,1841.05,True,True,True,0,0,2,0,13,0.498,0.00378,0.10691,49.8823,,False,
005490.KS,POSCO Holdings,KS,27355337776000.0,True,True,True,5,24117.9,21800.535,22696.389,22580.684,22598.848,31622.41,30399.4,True,True,True,7,5,4,2,22,0.025,0.03949,0.07661,15.289789,,True,
010120.KS,LS ELECTRIC,KS,26190000000000.0,True,True,True,5,3269.2124,3269.2124,3021.1382,3012.6423,3006.3767,4343.169,3898.3381,True,True,True,11,14,2,3,21,0.121,0.08438,0.21172,63.778316,,True,
298040.KS,HYOSUNG HEAVY,KS,25111007764000.0,True,True,True,5,85232.23,84237.31,83222.055,83222.055,83037.86,122144.38,112932.11,True,True,True,5,7,6,7,16,0.109,0.12913999,0.20988001,32.674446,,False,
034730.KS,SK,KS,25085935238000.0,True,True,True,5,0.0,0.0,65553.0,65553.0,65553.0,0.0,31643.0,True,True,True,1,1,0,0,11,0.012,0.00959,0.07779,7.665479,,True,
010140.KS,SamsungHvyInd,KS,25080000000000.0,True,True,True,5,1268.9396,1409.6786,1419.4332,1420.7001,1419.4591,1752.4156,1811.4968,True,True,True,1,1,10,10,23,0.051,0.10438,0.12904,17.17629,,False,
316140.KS,WooriFinancialGroup,KS,24664964352000.0,True,True,True,5,4380.0107,4565.7627,4573.907,4550.0156,4478.384,4895.7705,4792.834,True,True,True,2,2,8,7,19,-0.027,0.31311,0.0,6.444338,,True,
035720.KS,Kakao,KS,22138321400000.0,True,True,True,5,1504.0404,1441.3982,1463.1813,1476.5879,1492.2856,1744.9197,1744.1871,True,True,True,7,7,6,3,26,0.09,0.095369995,0.94061995,25.731844,,True,
000810.KS,SamsungF&MIns,KS,22016337667500.0,True,True,True,5,51243.53,51127.71,47672.76,47672.76,50111.07,56929.99,53916.49,True,True,True,1,1,3,1,18,0.049,0.072270006,0.20955,9.186723,,True,
051910.KS,LGCHEM,KS,21424776100500.0,True,True,True,5,2649.8748,-1075.9941,-577.32715,548.9669,2381.263,25051.63,22868.697,True,True,True,5,6,3,1,25,,-0.03688,0.17002001,15.368261,,True,
267250.KS,HD HYUNDAI,KS,20617195185000.0,True,True,True,5,18261.09,18262.404,20244.8,19050.342,18169.4,21509.25,19305.8,True,True,True,0,0,2,1,5,0.096,0.10515001,0.14067,12.824852,,False,
064350.KS,HYUNDAI ROTEM,KS,20333209185900.0,True,True,True,5,8464.204,8605.066,9030.035,9184.975,9184.975,12772.498,13745.6455,True,True,True,0,1,10,1,18,0.239,0.15383,0.23091999,16.598162,,True,
086520.KQ,ECOPRO,KQ,20515776567200.0,True,True,True,5,2101.4849,705.5445,705.5445,705.5445,705.5445,1808.8595,1951.887,True,True,True,0,0,1,1,1,,,,,,False,
011200.KS,HMM,KS,19666511674500.0,True,True,True,5,1235.8,1220.7273,1207.0,1176.7273,1193.5,1175.5,1208.5,True,True,True,1,2,0,0,9,-0.142,0.11705,0.18685,16.639729,,True,
066570.KS,LGELECTRONICS,KS,18927398169400.0,True,True,True,5,12337.15,11232.662,10645.68,10609.102,10590.602,15326.246,12275.664,True,True,True,4,11,1,2,26,0.043,0.070539996,0.23743,13.767233,,True,
196170.KQ,Alteogen,KQ,19262083680000.0,True,True,True,5,5827.4194,5432.0386,5432.0386,6328.708,6262.4067,9755.154,10141.56,True,True,True,0,1,1,0,4,0.269,0.30443,0.76716006,39.056274,,False,
024110.KS,IBK,KS,18898993095300.0,True,True,True,5,3457.6147,3390.6423,3402.429,3405.395,3457.1577,3643.4045,3626.4302,True,True,True,9,7,2,0,17,0.093,0.79608,0.0,5.8187337,,True,
000720.KS,HyundaiEng&Const,KS,18874802167500.0,True,True,True,5,4849.688,4815.6255,4592.878,4581.2017,4575.9106,6559.2974,6539.734,True,True,True,1,8,4,0,20,0.112,0.010829999,0.06375,25.078905,,True,
138040.KS,Meritz Financial,KS,18742241175700.0,True,True,True,5,15772.378,15816.038,15816.038,15816.038,15844.534,17621.182,17776.805,True,True,True,2,2,2,2,6,-0.007,0.33416,0.0,6.1914124,,False,
096770.KS,SK Innovation,KS,18646522516400.0,True,True,True,5,1669.7115,2969.664,1677.8727,599.37823,599.37823,5830.5654,5837.259,True,True,True,0,4,0,0,21,,-0.00336,0.05328,21.71316,,True,
000250.KQ,SCD,KQ,18648690240000.0,True,False,False,0,,,,,,,,False,False,False,,,,,,,,,,,False,
000150.KS,DOOSAN,KS,18606716415000.0,True,True,True,5,23606.604,22265.58,23663.105,25847.21,18666.516,40251.504,24582.23,True,True,True,1,3,1,0,10,0.094,0.039920002,0.1719,40.793507,,False,
047810.KS,KOREA AEROSPACE,KS,18559260372800.0,True,True,True,5,3583.6267,3862.306,3777.8882,3931.9138,4107.164,5271.2183,5316.625,True,True,True,1,1,8,7,22,0.34,0.05248,0.15213999,31.358974,,False,
